id,categoria,profesional,precioHora,nivel
150,8,79,1044,básico
151,4,35,815,intermedio
152,10,18,648,básico
153,15,78,943,intermedio
154,2,182,845,básico
155,9,63,475,básico
156,10,163,392,básico
157,5,34,420,avanzado
158,6,106,407,avanzado
159,3,198,726,básico
160,11,191,1157,básico
161,4,174,1058,avanzado
162,9,110,312,avanzado
163,13,174,1021,intermedio
164,2,156,936,avanzado
165,1,15,799,básico
166,1,113,661,avanzado
167,9,52,551,avanzado
168,9,104,427,avanzado
169,8,179,302,básico
170,8,172,928,intermedio
171,5,39,728,avanzado
172,2,44,828,avanzado
173,9,74,596,avanzado
174,1,52,1083,intermedio
175,15,178,464,avanzado
176,14,180,816,avanzado
177,9,44,632,intermedio
178,11,73,709,intermedio
179,7,121,790,avanzado
180,6,157,747,básico
181,10,130,952,intermedio
182,1,87,1147,básico
183,5,159,599,básico
184,5,129,419,básico
185,2,11,407,avanzado
186,6,51,510,intermedio
187,2,184,551,avanzado
188,9,186,802,intermedio
189,13,98,1198,básico
190,11,52,817,básico
191,13,55,801,básico
192,15,137,950,intermedio
193,9,36,722,avanzado
194,12,97,1115,avanzado
195,3,166,590,intermedio
196,6,160,858,avanzado
197,15,15,739,básico
198,1,86,957,intermedio
199,11,100,982,básico
200,13,150,1182,básico
201,7,26,466,intermedio
202,2,105,790,intermedio
203,12,161,588,intermedio
204,13,110,1095,básico
205,7,40,817,intermedio
206,3,170,651,avanzado
207,7,42,449,básico
208,2,22,1053,avanzado
209,11,36,800,intermedio
210,15,24,579,básico
211,2,52,995,básico
212,9,117,530,intermedio
213,7,27,771,intermedio
214,4,62,592,intermedio
215,11,196,1123,intermedio
216,1,154,1049,básico
217,4,96,829,básico
218,12,118,468,avanzado
219,3,159,490,avanzado
220,3,149,555,intermedio
221,14,92,1182,avanzado
222,6,26,802,básico
223,2,79,691,intermedio
224,9,86,651,básico
225,7,72,766,avanzado
226,2,143,767,avanzado
227,10,131,738,intermedio
228,2,33,482,intermedio
229,10,100,495,básico
230,12,64,1089,avanzado
231,6,37,1039,avanzado
232,14,165,921,avanzado
233,1,195,496,básico
234,12,91,353,básico
235,6,197,1200,avanzado
236,7,17,462,intermedio
237,4,160,486,básico
238,8,22,842,avanzado
239,5,174,1184,avanzado
240,3,5,320,básico
241,10,88,1183,avanzado
242,14,167,942,avanzado
243,8,133,1071,intermedio
244,10,23,1105,intermedio
245,4,169,687,avanzado
246,9,77,1051,básico
247,8,181,534,intermedio
248,8,197,384,avanzado
249,15,147,1159,intermedio
250,10,197,1194,intermedio
251,13,51,770,avanzado
252,14,116,686,avanzado
253,6,195,388,básico
254,2,111,1019,avanzado
255,6,174,952,avanzado
256,13,29,1084,básico
257,7,7,357,intermedio
258,13,199,779,básico
259,1,38,409,avanzado
260,14,116,900,básico
261,5,133,390,intermedio
262,10,150,628,avanzado
263,1,87,466,básico
264,7,189,1094,intermedio
265,15,54,854,intermedio
266,1,183,1129,intermedio
267,5,24,434,básico
268,12,105,836,avanzado
269,14,184,590,avanzado
270,2,140,467,avanzado
271,1,41,684,básico
272,4,186,653,básico
273,5,29,531,básico
274,12,77,562,intermedio
275,6,145,1199,intermedio
276,13,125,628,básico
277,15,73,396,básico
278,3,35,1014,básico
279,13,44,1153,avanzado
280,5,157,602,intermedio
281,11,147,352,intermedio
282,9,33,975,básico
283,14,142,1029,básico
284,9,154,837,intermedio
285,15,123,912,avanzado
286,8,121,397,intermedio
287,7,33,619,intermedio
288,6,128,918,avanzado
289,5,170,1073,avanzado
290,9,48,870,intermedio
291,7,4,1071,avanzado
292,9,105,608,básico
293,14,148,1024,avanzado
294,1,81,1132,básico
295,10,7,418,básico
296,10,124,834,avanzado
297,3,148,436,básico
298,15,117,1141,básico
299,8,84,684,intermedio
300,4,147,317,intermedio
301,12,36,972,avanzado
302,14,172,1015,avanzado
303,11,98,744,avanzado
304,6,102,809,avanzado
305,4,170,1163,avanzado
306,15,123,668,básico
307,13,168,886,básico
308,1,93,1178,avanzado
309,15,76,688,intermedio
310,4,71,604,avanzado
311,12,167,671,avanzado
312,6,55,652,básico
313,8,135,682,avanzado
314,15,175,1086,intermedio
315,1,47,720,básico
316,13,47,729,intermedio
317,5,40,997,básico
318,13,13,369,intermedio
319,2,109,534,intermedio
320,4,98,440,intermedio
321,3,123,972,avanzado
322,14,194,1167,intermedio
323,9,18,1142,intermedio
324,10,18,372,intermedio
325,4,119,837,avanzado
326,13,43,1011,básico
327,2,111,845,intermedio
328,3,172,1068,avanzado
329,3,145,1116,avanzado
330,2,69,547,intermedio
331,3,144,1083,avanzado
332,10,24,1079,avanzado
333,2,124,570,avanzado
334,7,144,786,intermedio
335,3,84,580,avanzado
336,12,172,625,intermedio
337,3,36,529,básico
338,6,32,514,básico
339,9,69,884,intermedio
340,5,9,445,avanzado
341,11,82,1038,básico
342,2,35,1177,avanzado
343,1,83,448,intermedio
344,3,126,857,básico
345,8,8,1004,básico
346,12,15,921,intermedio
347,3,58,884,básico
348,6,169,373,intermedio
349,9,95,911,básico
350,6,158,693,avanzado
351,15,187,648,intermedio
352,10,93,590,avanzado
353,14,82,553,avanzado
354,10,58,1033,intermedio
355,7,111,588,intermedio
356,10,75,383,básico
357,14,188,818,intermedio
358,9,151,823,intermedio
359,2,131,874,básico
360,10,101,1190,avanzado
361,1,166,344,intermedio
362,7,77,1181,avanzado
363,15,96,804,intermedio
364,2,99,871,intermedio
365,5,60,400,avanzado
366,10,140,561,avanzado
367,11,86,899,básico
368,1,174,764,avanzado
369,3,114,708,avanzado
370,15,77,624,avanzado
371,2,94,438,avanzado
372,9,62,1198,intermedio
373,9,75,568,intermedio
374,13,85,362,avanzado
375,8,96,889,básico
376,12,145,1027,intermedio
377,9,119,540,avanzado
378,13,188,1091,intermedio
379,11,67,989,intermedio
380,15,41,600,básico
381,8,166,1013,básico
382,1,13,1103,básico
383,3,195,1131,básico
384,10,9,800,avanzado
385,11,20,441,básico
386,2,99,689,intermedio
387,10,92,352,intermedio
388,6,71,931,avanzado
389,5,132,502,avanzado
390,5,122,624,intermedio
391,3,112,983,avanzado
392,12,78,1188,avanzado
393,11,30,788,intermedio
394,1,86,526,avanzado
395,13,101,708,avanzado
396,6,110,635,intermedio
397,10,129,445,intermedio
398,8,22,770,básico
399,9,78,833,avanzado
400,6,175,422,intermedio
401,4,52,522,avanzado
402,9,9,566,avanzado
403,11,113,335,avanzado
404,12,67,522,intermedio
405,15,120,1118,básico
406,15,178,1082,avanzado
407,11,25,551,intermedio
408,11,51,739,intermedio
409,1,161,1140,intermedio
410,3,132,600,intermedio
411,11,56,1108,avanzado
412,8,126,609,intermedio
413,9,190,806,avanzado
414,8,27,1032,intermedio
415,13,108,1034,avanzado
416,4,150,1156,avanzado
417,13,186,1073,intermedio
418,10,133,791,básico
419,7,25,1051,intermedio
420,6,164,525,intermedio
421,3,128,872,intermedio
422,6,149,971,intermedio
423,11,112,899,básico
424,3,93,370,básico
425,3,52,1143,avanzado
426,1,36,654,básico
427,5,28,687,básico
428,9,39,810,básico
429,11,41,353,básico
430,6,114,705,básico
431,4,170,932,básico
432,14,114,755,básico
433,4,189,327,avanzado
434,14,89,494,avanzado
435,15,12,905,avanzado
436,1,98,685,avanzado
437,11,10,384,básico
438,1,136,1108,intermedio
439,11,69,636,básico
440,13,152,463,avanzado
441,5,36,400,básico
442,1,195,981,avanzado
443,15,9,921,avanzado
444,11,128,894,intermedio
445,7,73,456,básico
446,13,19,890,intermedio
447,11,15,1087,intermedio
448,7,25,356,intermedio
449,9,51,1172,avanzado
450,8,75,312,intermedio
451,15,69,1169,avanzado
452,7,23,459,básico
453,9,7,439,avanzado
454,11,140,1040,avanzado
455,9,179,1000,avanzado
456,6,173,695,básico
457,5,193,952,avanzado
458,12,48,1073,básico
459,12,11,546,avanzado
460,12,126,1119,básico
461,9,62,436,básico
462,6,58,1052,intermedio
463,5,14,885,intermedio
464,9,138,720,avanzado
465,9,91,695,básico
466,6,49,963,avanzado
467,6,96,573,intermedio
468,11,27,1055,intermedio
469,8,169,523,intermedio
470,12,186,512,avanzado
471,6,34,969,intermedio
472,8,112,1139,intermedio
473,10,53,898,intermedio
474,12,133,693,intermedio
475,8,31,1164,avanzado
476,8,42,380,avanzado
477,2,142,1127,básico
478,15,128,460,avanzado
479,12,153,368,básico
480,3,29,909,avanzado
481,9,31,727,básico
482,4,54,670,básico
483,12,78,767,avanzado
484,3,41,441,intermedio
485,1,119,750,intermedio
486,6,96,921,básico
487,3,198,490,intermedio
488,9,9,457,intermedio
489,9,157,720,básico
490,9,117,414,básico
491,8,139,432,intermedio
492,5,170,480,avanzado
493,5,181,522,intermedio
494,5,131,478,avanzado
495,1,153,736,básico
496,15,50,322,intermedio
497,4,136,653,básico
498,12,63,1058,básico
499,13,25,555,básico
500,11,167,762,avanzado
501,8,167,801,intermedio
502,10,71,899,intermedio
503,14,122,1039,básico
504,14,37,958,básico
505,15,175,786,básico
506,4,58,1150,básico
507,8,152,670,intermedio
508,9,92,354,básico
509,3,74,506,intermedio
510,9,92,904,intermedio
511,7,106,884,intermedio
512,2,13,566,avanzado
513,14,29,1129,intermedio
514,11,155,624,intermedio
515,2,106,1186,intermedio
516,10,85,746,intermedio
517,6,178,841,avanzado
518,8,189,346,básico
519,13,23,909,básico
520,6,2,411,avanzado
521,7,152,604,intermedio
522,6,126,1047,intermedio
523,5,181,349,avanzado
524,11,40,808,intermedio
525,14,127,446,básico
526,12,79,1166,avanzado
527,4,185,680,avanzado
528,14,146,431,avanzado
529,10,105,999,avanzado
530,9,181,1110,intermedio
531,1,96,745,intermedio
532,3,194,395,intermedio
533,8,118,769,avanzado
534,4,64,880,básico
535,4,110,941,avanzado
536,11,65,507,avanzado
537,3,12,540,avanzado
538,11,102,1130,básico
539,7,12,988,intermedio
540,6,47,887,básico
541,10,187,320,intermedio
542,14,111,991,intermedio
543,11,119,625,avanzado
544,9,187,494,avanzado
545,15,183,1184,avanzado
546,14,80,321,avanzado
547,2,180,1126,avanzado
548,2,159,787,intermedio
549,7,156,693,básico
550,13,59,1168,básico
551,10,114,807,intermedio
552,3,80,1016,avanzado
553,2,1,929,intermedio
554,2,112,858,intermedio
555,4,195,759,básico
556,10,73,383,básico
557,8,183,420,avanzado
558,15,198,626,intermedio
559,2,21,335,básico
560,3,95,496,avanzado
561,12,59,824,básico
562,4,116,996,avanzado
563,6,76,620,avanzado
564,10,84,510,básico
565,11,152,935,intermedio
566,1,144,1192,básico
567,9,58,777,básico
568,1,126,532,avanzado
569,9,107,794,básico
570,8,131,1185,avanzado
571,3,107,431,básico
572,9,185,300,básico
573,9,124,597,básico
574,3,46,433,avanzado
575,8,8,872,avanzado
576,4,75,624,básico
577,15,145,538,básico
578,9,142,848,avanzado
579,10,118,986,intermedio
580,5,12,725,avanzado
581,3,5,957,básico
582,9,33,697,avanzado
583,14,35,486,básico
584,15,103,855,intermedio
585,11,68,481,intermedio
586,1,75,1053,intermedio
587,5,175,1102,intermedio
588,7,50,976,básico
589,1,146,1017,avanzado
590,2,187,727,básico
591,9,63,890,intermedio
592,6,68,546,básico
593,14,22,1017,básico
594,4,154,979,avanzado
595,2,174,871,intermedio
596,1,146,387,básico
597,8,162,555,intermedio
598,8,62,541,intermedio
599,10,173,637,avanzado
